SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM1,10/05,7.12,AM,deer,1,0,0,
PM1,10/05,7.14,AM,deer,1,0,0,
PM1,10/05,7.15,AM,deer,1,0,0,
PM1,10/05,7.18,AM,deer,1,0,0,
PM1,10/05,7.19,AM,deer,2,0,1,
PM1,10/05,7.2,AM,deer,2,0,1,
PM1,10/05,7.21,AM,deer,2,0,1,
PM1,10/05,7.22,AM,deer,2,0,1,
PM1,10/05,7.24,AM,deer,2,0,1,
PM1,10/05,7.25,AM,deer,2,0,1,
PM1,10/05,7.26,AM,deer,2,0,1,
PM1,10/05,7.27,AM,deer,1,0,0,"
"
PM1,10/05,7.28,AM,deer,1,0,0,
PM1,10/05,7.31,AM,deer,1,0,0,
PM1,10/05,7.32,AM,deer,1,0,0,
PM1,10/05,7.33,AM,deer,1,0,0,
PM1,10/05,7.35,AM,deer,1,0,0,
PM1,10/05,7.36,AM,deer,1,0,0,
PM1,10/05,5.47,PM,deer,2,0,1,
PM1,10/05,5.47,PM,deer,3,0,2,
PM1,10/05,5.48,PM,deer,3,0,2,
PM1,10/05,5.49,PM,deer,4,0,3,
PM1,10/05,5.5,PM,deer,1,0,1,
PM1,10/05,5.51,PM,deer,2,0,2,
PM1,10/05,5.52,PM,deer,3,0,2,
PM1,10/05,5.53,PM,deer,4,0,2,
PM1,10/05,5.53,PM,deer,4,0,2,
PM1,10/05,5.54,PM,deer,4,0,2,
PM1,10/05,5.55,PM,deer,4,0,2,
PM1,10/05,5.55,PM,deer,3,0,2,
PM1,10/05,5.56,PM,deer,2,0,1,
PM1,10/05,5.57,PM,deer,2,0,1,
PM1,10/05,5.58,PM,deer,3,0,1,
PM1,10/05,5.59,PM,deer,3,0,1,
PM1,10/05,6,PM,deer,2,0,1,
PM1,10/05,6.03,PM,deer,1,0,1,
PM1,10/05,6.04,PM,deer,2,0,2,
PM1,10/05,6.05,PM,deer,1,0,1,
PM1,10/05,6.06,PM,deer,1,0,1,
PM1,10/05,6.11,PM,deer,1,0,1,
PM1,10/05,6.13,PM,deer,1,0,1,
PM1,10/05,6.14,PM,deer,1,0,1,
PM1,10/05,6.15,PM,deer,1,0,1,
PM1,10/05,6.16,PM,deer,1,0,1,
PM1,10/05,6.17,PM,deer,1,0,1,
PM1,10/05,6.21,PM,deer,1,0,1,
PM1,10/05,6.22,PM,deer,2,0,1,
PM1,10/05,6.23,PM,deer,2,0,1,
PM1,10/05,6.24,PM,deer,2,0,1,
PM1,10/05,6.25,PM,deer,2,0,1,
PM1,10/05,6.27,PM,deer,2,0,1,
PM1,10/05,6.29,PM,deer,1,0,0,
PM1,10/05,6.31,PM,deer,1,0,0,
PM1,10/05,7.24,PM,deer/racoon,1,0,0,
PM1,10/05,7.25,PM,deer/racoon,1,0,0,
PM1,10/05,7.26,PM,deer/racoon,1,0,0,
PM1,10/05,7.27,PM,deer/racoon,1,0,0,
PM1,10/05,7.28,PM,deer/racoon,2,0,0,
PM1,10/05,7.29,PM,deer/racoon,1,0,0,
PM1,10/05,7.3,PM,deer/racoon,2,0,0,
PM1,10/05,10.43,PM,deer,1,0,0,
PM1,10/05,10.44,PM,deer,1,0,0,
PM1,10/05,10.45,PM,deer,1,0,0,
PM1,10/05,10.47,PM,deer,1,0,0,
PM1,10/05,10.49,PM,deer,1,0,0,
PM1,10-06,4.22,AM,deer,1,0,0,
PM1,,4.23,AM,deer,1,0,0,
PM1,,4.24,AM,deer,1,0,0,
PM1,,4.25,AM,deer,1,0,0,
PM1,,4.27,AM,deer,1,0,0,
PM1,,4.28,AM,deer,1,0,0,
PM1,,4.29,AM,deer,1,0,0,
PM1,,4.3,AM,deer,1,0,0,
PM1,,4.31,AM,deer,1,0,0,
PM1,,4.32,AM,deer,1,0,0,
PM1,,4.37,AM,deer/racoon,1,0,0,
PM1,,4.55,"AM
",deer/racoon,1,0,1,
PM1,,4.56,"AM
",deer/racoon,1,0,1,
PM1,,4.58,"AM
",deer/racoon,1,0,1,
PM1,,5,"AM
",deer/racoon,1,0,1,
PM1,,5.02,"AM
",deer/racoon,1,0,1,
PM1,,5.04,"AM
",deer/racoon,1,0,1,
PM1,,5.06,"AM
",deer/racoon,1,0,1,
PM1,,5.07,"AM
",deer/racoon,1,0,1,
PM1,,6.27,"AM
",deer/racoon,1,0,1,
PM1,,6.28,"AM
",deer,1,0,0,
PM1,,6.29,"AM
",deer,1,0,0,
PM1,,7.2,"AM
",deer,1,0,0,
PM1,,7.22,"AM
",deer,1,0,0,
PM1,,7.24,"AM
",deer,1,0,0,
PM1,,7.26,"AM
",deer,1,0,0,
PM1,,7.27,"AM
",deer,1,0,0,
PM1,,7.29,"AM
",deer,2,0,1,
PM1,,7.31,AM ,deer,2,0,1,
PM1,,7.34,AM ,deer,2,0,1,
PM1,,7.35,AM ,deer,3,0,1,
PM1,,7.36,AM ,deer,2,0,0,
PM1,,7.37,AM ,deer,1,0,0,
PM1,,4.38,PM ,deer,1,0,1,
PM1,,4.45,PM ,deer,1,0,1,
PM1,,4.47,PM ,deer,1,0,1,
PM1,,4.48,PM ,deer,1,0,1,
PM1,,4.49,PM ,deer,1,0,1,
PM1,,4.5,PM ,deer,1,0,1,
PM1,,4.52,PM ,deer,1,0,1,
PM1,,4.53,PM ,deer,1,0,1,
PM1,,4.55,PM ,deer,1,0,1,
PM1,,4.57,PM ,deer,1,0,1,
PM1,,4.58,PM ,deer,1,0,1,
PM1,,5.15,PM ,deer,1,0,1,
PM1,,5.16,PM ,deer,1,0,1,
PM1,,5.18,PM ,deer,1,0,1,
PM1,,5.19,PM ,deer,1,0,1,
PM1,,5.2,PM ,deer,1,0,1,
PM1,,5.21,PM ,deer,1,0,1,
PM1,,6.46,PM ,deer,2,0,2,
PM1,,6.48,PM ,deer,2,0,2,
PM1,,6.49,PM ,deer,2,0,2,
PM1,,6.5,PM ,deer,2,0,2,
PM1,,6.51,PM ,deer,3,0,3,
PM1,,6.52,PM ,deer,3,0,3,
PM1,,6.53,PM ,deer,4,0,3,
PM1,,6.54,PM ,deer,4,0,3,
PM1,,6.55,PM ,deer,4,0,3,
PM1,,6.56,PM ,deer,4,0,3,
PM1,,6.57,PM ,deer,4,0,3,
PM1,,6.58,PM ,deer,4,0,3,
PM1,,6.59,PM ,deer,4,0,3,
PM1,,7,PM,deer,3,0,2,
PM1,,7.01,PM,deer,2,0,2,
PM1,,7.03,PM,deer,3,0,3,
PM1,,7.04,PM,deer,2,0,2,
PM1,10/07,5:45,AM,deer,1,0,0,
PM1,,5:46,AM,deer,2,0,1,
PM1,,5:48,AM,deer,2,0,1,
PM1,,5:49,AM,deer,2,0,1,
PM1,,5:50,AM,deer,2,0,1,
PM1,,5:51,AM,deer,2,0,1,
PM1,,5:52,AM,deer,2,0,1,
PM1,,5:53,AM ,deer,3,0,1,
PM1,,5:54,AM ,deer,3,0,1,
PM1,,5:55,AM ,deer,3,0,1,
PM1,,5:56,AM ,deer,3,0,1,
PM1,,5:58,AM ,deer,3,0,1,
PM1,,5:59,AM ,deer,3,0,1,
PM1,,6:00,AM ,deer,3,0,1,
PM1,,6:01,AM ,deer,3,0,1,
